mean,std
29.421890814261637,6.499448811561155
117.81445750390651,24.10022935005069
42.247842924111694,9.886486695215503
0.38650723554589306,0.4869656078819912
98.28116291867666,0.8591727623297912
0.13309328079353216,0.3396870600195812
12.242119709219343,5.534285037424731
104.20055710306407,6.469780670651078
136.04246212378558,42.23238965269966
64.76010598546097,15.108872308596288
19.607582036823153,5.950932865812836
22.735450777906106,4.251954154418108
2.657313676200829,1.4937813337649317
138.65289761532713,4.20475447311117
139.1280317956383,96.49744853619988
0.3771995380120932,0.4847019784842329
43.23194510496637,10.165454649457118
62.96874787689381,27.68410758445938
2.935335280929414,0.58921935501222
0.16244310075412732,0.3688693317658686
7.932094571642096,4.2838650893289945
2.9078741762347984,2.779785970352501
97.44038317820504,3.040173961188125
0.8605204157891161,0.3464580563091783
